"","id","publish","title","viewCount","likeCount","dislikeCount","commentCount"
"37","iecsIP080WQ","2017-06-17T07:12:22.000Z","【モンスト】新超絶ブルータス初見チャレンジ！【ヒカキンゲームズ】",714928,4502,706,1646
"38","jAiaLN94hUs","2017-06-15T10:57:52.000Z","【青鬼2 ニケちゃん編】ヒカキンの実況プレイPart1【ホラーゲーム】",2985487,13995,2077,2615
"39","VR4NaPqlYio","2017-06-12T08:00:00.000Z","【モンスト】爆絶エルドラドに２度目の挑戦！【ヒカキンゲームズ】",854342,4593,734,1172
"40","gn1tRyZ2JDM","2017-06-11T08:00:02.000Z","【マインクラフト】ヒカクラ最終回！ありがとうヒカキンくん！【ヒカキンのマイクラ実況 Part355】",7014410,123633,6573,37710
"41","ByA4Ke9jI0Y","2017-06-09T10:13:15.000Z","花嫁カ゛チャ引くよw そしてルエト゛激級に無課金コスト155テ゛ッキて゛挑戦！【ヒカキンゲームズ】",872260,4414,759,1343
"42","umc625Nv6bM","2017-06-16T09:00:04.000Z","はねろ！コイキングやってみた！ナゾおじさんが怪しすぎるw【ヒカキンゲームズ】",1253787,6610,732,1189
"43","W6wbqKvqZLs","2017-06-06T12:30:59.000Z","みんな、ほんとこ゛めんなぁ",1567680,25033,1831,6133
"44","UoZAqhGjBCM","2017-06-03T11:33:56.000Z","【マインクラフト】重大発表あり！超大量のTNTで館の屋根ふっとばす！w【ヒカキンのマイクラ実況 Part354】【ヒカクラ】",3610829,30012,3013,8507
"45","aSKBKWtI7nY","2017-06-02T10:40:15.000Z","みんな、こ゛めん",3290758,51578,3608,8521
"46","j4C2A4Yyu0I","2017-06-01T10:18:48.000Z","超駒パレード30連で新キャラ『ミアクレル』を狙う！&竜駒デッキ紹介！【ヒカキンゲームズ】【逆転オセロニア】",761867,3391,402,975
"47","e6C2an3Yb3Q","2017-05-31T09:00:02.000Z","ヒカキン、相方募集します！",1380455,13796,1063,4458
"48","MWDeQqkrSrY","2017-05-28T08:00:01.000Z","【モンスト】モン玉Lv.4ガチャでラファエルと出会えるはず【ヒカキンゲームズ】",938583,6189,820,1521
"49","O-43yCMCho0","2017-05-29T09:00:01.000Z","ヒカキン、エイリアンになる",1019704,6868,753,1486
"50","JY85GckQdSc","2017-05-26T09:55:25.000Z","【ゼルダの伝説】リンクの記憶がよみがえる！？ウツシエの記憶！  ヒカキンのゼルダの伝説ブレスオブザワイルド実況 Part13",1612522,6791,874,3267
"51","TbEkmI4tY9A","2017-05-27T11:25:51.000Z","YouTuberでドラクエの日記念イベントに挑戦！【ヒカキンゲームズ】【星のドラゴンクエスト】",469857,4104,374,369
"52","qORNSI8M98E","2017-05-25T11:35:51.000Z","ケ゛ームしたい",1477117,20922,1602,4280
"53","kND2GMk1Bdg","2017-05-20T09:17:59.000Z","【モンスト】爆絶エルドラドに初見チャレンジ！【ヒカキンゲームズ】",825146,4726,1117,1522
"54","j8ks8z3-qKk","2017-05-19T11:05:24.000Z","ヒカキン先生のオセロニア教室【無課金駒最強ランキング】",719890,4185,413,1108
"55","ROlTRBC-zWs","2017-05-18T09:58:59.000Z","【マインクラフト】スイッチ版スーパーマリオエディションのネザーがヤベェ…クッパ探しの旅【ヒカキンゲームズ実況】",2686291,9575,1740,3703
"56","Nef9Km3fnbs","2017-05-15T09:00:02.000Z","【モンスト】激獣神祭、シングルで当たる気しかしねえ…【ヒカキンゲームズ】",1222725,8116,1531,2399
"57","u22rQ2rGB6Q","2017-05-14T10:56:04.000Z","【モンスト】仙水忍に初チャレンジしてみた！【ヒカキンゲームズ】",932256,4560,1172,1824
"58","Or0UxJhkmgk","2017-05-13T10:12:18.000Z","【マインクラフト】スイッチ版マイクラのスーパーマリオエディションがヤバすぎて感動…【ヒカキンゲームズ実況】",3452328,13224,2248,5843
"59","ZxuRKLuoI40","2017-05-08T09:50:45.000Z","【青鬼2 裏技編】ヒカキンの実況プレイ【ホラーゲーム】",2144030,12125,896,2044
"60","a6m7lZXjefE","2017-05-07T11:39:18.000Z","【ゼルダの伝説】イワロックにリベンジ！！！  ヒカキンのゼルダの伝説ブレスオブザワイルド実況 Part12",2177024,7156,1087,3523
"61","UlaIBn4SpaU","2017-05-05T10:13:27.000Z","【青鬼2 校長編】ヒカキンの実況プレイ Part4 最終回【ホラーゲーム】",3258770,12875,1524,2477
"62","vXp9HSi6oOM","2017-05-04T09:41:18.000Z","【モンスト】幽遊白書コラボガチャで奇跡が起きた！【ヒカキンゲームズ】",1644657,11215,2824,3362
"63","clMXYk2YEQ4","2017-05-03T09:53:07.000Z","【青鬼2 校長編】ヒカキンの実況プレイ Part3【ホラーゲーム】",2380453,10058,1066,1500
"64","xsqNO3Hpoqs","2017-05-02T09:14:01.000Z","【発狂】黄金の限定ガチャでフィーバー!? GW限定超駒パレードで金のアズリエルを狙う！【ヒカキンゲームズ】【逆転オセロニア】",700700,3853,394,1321
"65","8jneAxkWldY","2017-05-01T11:23:16.000Z","【ゼルダの伝説】海へ出たら即死www  ヒカキンのゼルダの伝説ブレスオブザワイルド実況 Part11",1833200,7147,988,2802
"66","gF-9RZZg0Io","2017-04-30T11:20:16.000Z","【青鬼2 校長編】ヒカキンの実況プレイ Part2【ホラーゲーム】",2188007,10502,929,1288
"67","6Ac3ERS6Xyw","2017-04-29T08:01:22.000Z","【モンスト】新超絶呂布に初見で挑む！【ヒカキンゲームズ】",1078325,5338,1234,1966
"68","f-NJHAGFR5A","2017-04-28T10:59:32.000Z","【青鬼2 校長編】ヒカキンの実況プレイ Part1【ホラーゲーム】",2852364,13350,1205,1733
"69","fTMfWlOTP6c","2017-04-28T08:53:07.000Z","かつてない絶対当たる最強ガチャがｷﾀ━(ﾟ∀ﾟ)━!!!【ヒカキンゲームズ】【逆転オセロニア】",1031493,3751,459,987
"70","TWPNYuoTZ4E","2017-04-26T09:00:02.000Z","【ゼルダの伝説】いきなり嵐来て雷落ちまくりなんだけどwww  ヒカキンのゼルダの伝説ブレスオブザワイルド実況 Part10",1366177,5358,830,1846
"71","S1sYnuR0XWQ","2017-04-24T11:08:53.000Z","【マインクラフト】ジョニーをTNTで爆破して殺ります！復讐や！【ヒカキンのマイクラ実況 Part353】【ヒカクラ】",2686154,13824,1887,3889
"72","_ULZvQnIq6w","2017-04-23T10:49:43.000Z","【ゼルダの伝説】ソードロボと格闘！祠ガンガン攻めるぜ！  ヒカキンのゼルダの伝説ブレスオブザワイルド実況 Part9",1788488,5666,961,2021
